name,type,x_um,y_um,z_um
IL1VL,sensory,2.25,-279.50,41.00
IL1VR,sensory,-6.55,-279.50,41.00
IL2DL,sensory,7.10,-287.47,57.13
IL2DR,sensory,-11.35,-287.47,57.13
IL2L,sensory,6.75,-285.00,49.35
IL2R,sensory,-11.00,-285.00,49.35
IL2VL,sensory,3.30,-288.88,42.95
IL2VR,sensory,-7.60,-288.88,42.95
LUAL,interneuron,1.35,403.80,4.10
LUAR,interneuron,-3.85,403.80,4.10
M1,motor,-0.87,-252.13,44.42
M2L,motor,3.70,-254.35,38.65
M2R,motor,-8.00,-254.35,38.65
M3L,motor,3.75,-295.40,48.15
M3R,motor,-8.05,-295.40,48.15
M4,motor,-2.03,-288.93,57.58
M5,motor,-2.20,-241.45,41.80
MCL,sensory,3.20,-296.15,52.30
MCR,sensory,-7.25,-296.15,52.30
MI,interneuron,-2.15,-293.51,56.71
NSML,sensory,2.60,-292.25,51.80
NSMR,sensory,-6.35,-292.25,51.80
OLLL,sensory,4.40,-283.90,50.02
OLLR,sensory,-8.65,-283.90,50.02
OLQDL,sensory,2.77,-280.00,53.43
OLQDR,sensory,-7.02,-280.00,53.43
OLQVL,sensory,4.20,-279.25,43.92
OLQVR,sensory,-8.47,-279.25,43.92
PDA,motor,-2.95,387.25,-5.50
PDB,motor,-3.30,384.65,-7.75
PDEL,sensory,25.75,143.80,25.60
PDER,sensory,-27.35,143.80,25.60
PHAL,sensory,1.20,402.90,4.10
PHAR,sensory,-3.80,402.90,4.10
PHBL,sensory,1.20,405.60,5.47
PHBR,sensory,-3.73,405.60,5.47
PHCL,sensory,0.75,408.77,7.28
PHCR,sensory,-3.42,408.77,7.28
PLML,sensory,2.50,410.15,8.18
PLMR,sensory,-3.67,410.15,8.18
PLNL,unknown,4.22,402.30,6.90
PLNR,unknown,-6.22,402.30,6.90
PQR,sensory,-0.33,407.30,7.65
PVCL,interneuron,0.85,404.15,5.50
PVCR,interneuron,-3.45,404.15,5.50
PVDL,sensory,24.75,175.15,24.95
PVDR,sensory,-26.11,175.15,24.95
PVM,sensory,24.85,188.80,20.55
PVNL,interneuron,0.55,410.00,8.90
PVNR,interneuron,-3.25,409.95,8.90
PVPL,interneuron,-0.10,366.65,-14.70
PVPR,interneuron,-0.15,356.55,-16.65
PVQL,interneuron,0.85,402.40,5.15
PVQR,interneuron,-3.30,402.40,5.15
PVR,sensory,-1.85,407.35,7.70
PVT,interneuron,-0.10,358.75,-17.50
PVWL,interneuron,0.80,405.40,6.80
PVWR,interneuron,-3.40,405.40,6.80
RIAL,interneuron,4.00,-270.25,45.00
RIAR,interneuron,-8.20,-270.25,45.00
RIBL,interneuron,5.50,-264.35,38.00
RIBR,interneuron,-9.80,-264.35,38.00
RICL,interneuron,-0.74,-267.06,38.09
RICR,interneuron,-3.56,-267.06,38.09
RID,interneuron,-1.23,-272.35,54.94
RIFL,interneuron,0.00,-239.85,18.35
RIFR,interneuron,-5.15,-245.50,23.90
RIGL,interneuron,0.00,-233.25,16.35
RIGR,interneuron,-4.70,-241.95,20.65
RIH,interneuron,-2.00,-267.35,35.95
RIML,motor,3.50,-260.90,39.00
RIMR,motor,-7.75,-260.90,39.00
RIPL,interneuron,3.38,-278.57,48.82
RIPR,interneuron,-7.62,-278.57,48.82
RIR,interneuron,-11.60,-265.90,36.65
RIS,interneuron,-4.83,-262.16,33.64
RIVL,interneuron,4.50,-265.30,50.35
RIVR,interneuron,-8.75,-265.30,50.35
RMDDL,motor,3.60,-269.07,37.65
RMDDR,motor,-7.75,-269.07,37.65
RMDL,motor,3.10,-271.00,41.20
RMDR,motor,-7.40,-271.00,41.20
RMDVL,motor,4.85,-271.20,44.40
RMDVR,motor,-9.05,-271.20,44.40
RMED,motor,-1.50,-275.75,58.50
RMEL,motor,4.65,-274.40,46.99
RMER,motor,-8.90,-274.40,46.99
RMEV,motor,-2.03,-272.97,35.67
RMFL,motor,1.10,-265.05,34.10
RMFR,motor,-5.40,-265.05,34.10
RMGL,motor,8.25,-238.30,32.70
RMGR,motor,-12.50,-238.30,32.70
RMHL,motor,1.10,-265.90,35.70
RMHR,motor,-5.30,-265.90,35.70
SAADL,interneuron,-4.69,-270.17,42.13
SAADR,interneuron,0.53,-270.17,42.13
SAAVL,interneuron,3.90,-270.90,45.42
